StateAbbr,StateName,HexRow,HexCol,extremism_change,current_score
AL,Alabama,7,5,0.306,0.366
AK,Alaska,1,2,0.0,0.278
AZ,Arizona,7,1,-0.07200000000000001,0.335
AR,Arkansas,6,4,0.294,0.4275
CA,California,6,0,0.05399999999999999,-0.364
CO,Colorado,5,2,0.09100000000000003,0.455
CT,Connecticut,4,10,0.33899999999999997,-0.345
DE,Delaware,5,9,-0.08899999999999997,-0.256
FL,Florida,8,5,0.10399999999999995,0.27699999999999997
GA,Georgia,7,6,0.532,0.63
HI,Hawaii,8,-1,0.2415,-0.363
ID,Idaho,4,1,0.30499999999999994,0.5105
IL,Illinois,4,5,-0.04500000000000001,-0.223
IN,Indiana,4,6,0.329,0.447
IA,Iowa,4,4,0.323,0.4845
KS,Kansas,6,3,0.4034999999999999,0.6114999999999999
KY,Kentucky,5,5,0.371,0.409
LA,Louisiana,7,3,0.08950000000000008,0.49850000000000005
ME,Maine,1,12,-0.07900000000000003,-0.02949999999999997
MD,Maryland,5,8,-0.018500000000000072,-0.38849999999999996
MA,Massachusetts,3,10,0.23800000000000002,-0.41600000000000004
MI,Michigan,3,7,0.019499999999999962,0.357
MN,Minnesota,3,4,0.07599999999999996,-0.20999999999999996
MS,Mississippi,7,4,0.031000000000000028,0.488
MO,Missouri,5,4,0.285,0.45699999999999996
MT,Montana,3,2,0.251,0.41200000000000003
NE,Nebraska,5,3,0.032999999999999974,0.3
NV,Nevada,5,1,0.21000000000000002,0.3385
NH,NewHampshire,2,11,-0.1525,0.08550000000000002
NJ,NewJersey,4,9,-0.10450000000000002,-0.103
NM,NewMexico,6,2,0.21400000000000002,-0.317
NY,NewYork,3,9,0.045499999999999985,-0.384
NC,NorthCarolina,6,6,0.5430000000000001,0.5820000000000001
ND,NorthDakota,3,3,0.24100000000000002,0.386
OH,Ohio,4,7,0.04250000000000004,0.386
OK,Oklahoma,7,2,0.387,0.469
OR,Oregon,5,0,0.164,-0.395
PA,Pennsylvania,4,8,-0.15200000000000002,0.243
RI,RhodeIsland,3,11,0.3025,-0.3835
SC,SouthCarolina,6,7,0.4724999999999999,0.6629999999999999
SD,SouthDakota,4,3,0.3195,0.397
TN,Tennessee,6,5,0.276,0.526
TX,Texas,8,2,0.3405,0.523
UT,Utah,6,1,0.4145,0.5495
VT,Vermont,2,10,0.0009999999999999454,-0.408
VA,Virginia,5,7,0.24600000000000002,0.40700000000000003
WA,Washington,3,1,0.2665,-0.2805
WV,WestVirginia,5,6,-0.008000000000000007,0.312
WI,Wisconsin,3,5,0.20649999999999996,0.5305
WY,Wyoming,4,2,0.15200000000000002,0.675
US,Average,7,8,0.21200000000000002,0.3615
